Target,Model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,macro_roc_auc,macro_pr_auc,weighted_roc_auc,weighted_pr_auc,Setting
overall,LightTS,0.8175,0.8141,0.8166,0.8125,0.8169,0.8172,0.8175,0.8867,0.9091,0.8867,0.9091,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_LightTS_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Informer,0.8175,0.8122,0.821,0.8089,0.8157,0.8192,0.8175,0.8849,0.9077,0.8849,0.9077,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Informer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Reformer,0.8095,0.8011,0.8221,0.7964,0.8056,0.8174,0.8095,0.8849,0.8991,0.8849,0.8991,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Reformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,FiLM,0.8016,0.7905,0.8214,0.7857,0.7958,0.8151,0.8016,0.8441,0.8513,0.8441,0.8513,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_FiLM_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Crossformer,0.7937,0.7845,0.8046,0.7804,0.7894,0.8006,0.7937,0.8551,0.8818,0.8551,0.8818,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Crossformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,TimesNet,0.7778,0.7757,0.7751,0.7768,0.7781,0.7788,0.7778,0.8301,0.8515,0.8301,0.8515,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_TimesNet_Mental_ftwobg_clip_sl256_ll48_pl0_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,iTransformer,0.7698,0.7691,0.7698,0.7732,0.7706,0.776,0.7698,0.8314,0.8436,0.8314,0.8436,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_iTransformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm2048_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,PatchTST,0.7063,0.6818,0.7264,0.6839,0.6916,0.7214,0.7063,0.7533,0.7418,0.7533,0.7418,classification_ovr_cls_src_clip_seq1024_enc256_lr0.0002_PatchTST_Mental_ftsrc_clip_sl1024_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq1024_src_clip_lr0.0002_0
overall,PatchTST,0.6984,0.6803,0.7055,0.6804,0.6887,0.7034,0.6984,0.6776,0.7034,0.6776,0.7034,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_PatchTST_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
overall,Autoformer,0.6429,0.6327,0.6373,0.6321,0.6395,0.6401,0.6429,0.6158,0.7017,0.6158,0.7017,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_Autoformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
